GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Tmem80,9.694310686,7.879336386,6.195747518,8.161978865,8.313612751,11.61326855,10.22388314,9.160343765,9.349934982,12.3828259,9.616548059,9.481819723,6.63996713,8.738225656,6.329779238
Lrdd,1.800371985,2.58116192,1.084255816,2.720659622,1.939842975,0.800915072,1.266675787,1.20795742,1.438451536,1.676841007,1.582469934,0.819416519,0.572410959,1.437935867,1.130317721
Rplp2,87.52577648,91.83502408,54.21279078,96.47877582,89.50989729,106.1212471,89.93398086,101.4684232,386.2242373,112.7353108,100.3042481,105.236493,104.1787946,107.0709169,97.99854641
Pnpla2,104.5600653,101.7521199,57.46555823,87.47967092,88.40141559,241.7428659,127.4818703,257.8989091,116.5145744,361.8106942,149.4825445,148.6655685,142.1868823,137.1569597,143.324287
Cd151,59.41227549,54.06854968,33.92171766,52.32037734,49.05031523,55.79708336,71.20527458,78.21524291,69.76489948,86.29281797,54.65607694,55.4862043,58.15695348,55.74766747,61.48928402
Tspan4,8.032428854,6.384979485,4.337023262,8.999104903,6.928010626,8.409608258,10.04292945,13.58952097,22.2959988,17.28436115,9.860004971,9.247700717,8.242717816,9.733719718,10.39892303
Chid1,10.94072206,14.53601713,8.364259149,13.81257962,13.3017804,15.61784391,14.11438734,14.99880463,32.00554667,22.57285971,16.43334162,11.35477177,13.62338084,13.05203326,14.46806683
Tmem192,4.570175038,5.841576976,4.182129574,3.767067169,6.373769776,7.074749804,7.781008404,7.147081399,7.911483446,7.997241726,6.695065104,6.204153646,5.151698635,6.083574824,6.894938098
Apool,14.67995618,16.16622465,9.293621277,13.60329811,11.77761806,20.55682019,15.74297049,20.13262366,12.22683805,21.54095755,21.7893937,17.67598492,15.34061371,15.37485274,14.12897151
Chm,23.95879641,27.98522923,15.17958142,24.4859366,20.78403188,19.75590511,30.76212625,24.25981151,10.78838652,25.02362733,25.4412474,27.15780464,26.67435071,27.54200238,22.38029088
Crcp,8.170919007,6.65668074,4.182129574,8.789823394,7.205131051,7.608693186,8.414346298,7.247744517,5.034580375,7.997241726,7.790621212,7.491808176,6.411002746,8.29578385,5.651588605
Asl,4.985645496,3.939668193,3.252767447,5.650600753,4.711047226,6.140348887,6.061948408,7.449070754,8.27109633,8.900156114,5.842965909,5.033558618,4.464805484,3.097092637,4.634302656
Gusb,24.09728656,23.09460665,15.95404986,29.92725584,29.65188548,16.68573067,26.328761,29.39363054,116.1549615,36.63252661,22.03285062,23.52896005,23.69781372,20.9053753,24.75395809
Phkg1,167.1576143,160.5754415,113.5370733,155.0775984,152.0005531,141.6284819,205.3824311,163.376241,132.6971542,129.5037208,154.2299543,144.5684859,147.5675454,150.4302138,150.4452887
Sumf2,8.170919007,6.249128858,3.252767447,7.115571319,5.958089138,6.674292268,6.514332617,8.053049463,14.38451536,9.932058272,7.547164299,7.023570165,5.151698635,8.074562948,7.912224047
Tm9sf2,77.00052488,84.90664209,60.09875092,88.52607846,78.00939965,85.16396934,93.46257769,85.76497678,75.15909274,90.42042661,72.06324621,75.50337927,75.44376446,76.21060097,77.31373212
