Gene symbol,untreated,untreated,untreated,prednisolone-treated,prednisolone-treated,prednisolone-treated
C230029F24Rik,5.347764,5.613328,5.165855,5.486386,5.448771,5.373261
Gm25843,5.500197,5.603843,5.283219,5.137922,5.738465,5.298365
Tmeff2,6.765011,6.16747,6.511198,6.795202,6.760551,6.871226
Gm25736,17.05677,16.85767,16.95422,17.08617,17.07179,16.98701
Sdpr,10.60105,9.566027,10.33566,10.35522,10.11286,10.18699
Stat4,5.926089,6.043212,6.307807,5.017507,5.309952,5.472917
Stat1,11.98454,11.92522,12.07026,10.79116,10.65516,10.61305
Tmem194b,5.899231,5.951621,6.159823,6.289047,6.022963,6.197575
Hibch,8.968858,8.485748,8.582814,9.240237,9.021136,8.855186
Mstn,10.68164,9.295628,9.310119,10.54226,10.59693,10.04496
Gm24349,4.596427,4.612688,4.732073,4.490604,4.733074,5.088661
Ormdl1,5.932913,5.765234,5.849926,5.816932,5.902264,5.447616
Osgepl1,9.856119,9.482455,9.315393,9.860623,9.907888,9.767282
Mir7681,5.419949,5.054799,5.186522,5.308751,5.466558,5.212027
Ccdc150,4.565242,4.382315,4.550062,4.472519,4.414723,4.436831
4930444A19Rik,4.580206,4.343856,4.502234,4.545496,4.500745,4.51383
Gm24053,4.749366,4.102996,4.579825,4.426226,4.172665,4.520815
Coq10b,11.37201,9.222736,9.514891,7.819417,7.752561,7.947515
Hspe1,9.440973,9.78111,9.644695,9.158566,9.19132,9.61184
Gm16581,10.05996,9.89913,9.709037,10.346,10.57533,10.26626
Mob4,11.30763,10.96134,10.88594,10.96131,11.04424,10.99333
Gm10561,6.004266,5.633955,5.075273,5.638616,5.886546,5.541569
Mars2,6.726113,6.645596,6.72927,6.886952,6.648195,6.828001
Gm8292,9.692719,9.563521,9.664962,9.607796,9.861626,9.730656
Plcl1,6.947007,6.887637,7.101756,7.538152,7.242181,6.97745
9130227L01Rik,4.293908,4.450515,4.765618,4.577543,4.634946,4.548481
1700003I22Rik,4.575315,4.861489,4.73851,4.811152,4.447036,4.61097
9130024F11Rik,4.736475,5.014347,4.704267,4.740078,4.637897,4.840899
1700066M21Rik,6.701086,7.033597,6.977387,6.837206,7.100664,7.210183
9430016H08Rik,8.624077,8.867154,8.565575,8.811722,8.627258,8.781144
Gm24014,5.12646,4.710913,5.227357,4.744438,4.967157,4.96271
Spats2l,7.132533,6.956335,6.913144,6.73856,7.002541,6.942285
Sgol2,5.764665,5.946673,5.677219,5.587731,5.79821,6.00109
Aox1,8.892944,8.12808,8.34247,9.355665,9.096304,8.946411
Aox3,4.752333,4.658607,4.687166,4.683449,4.803476,4.760847
Aox4,4.323663,4.480067,4.310719,4.299698,4.347404,4.421482
Aox2,4.701896,4.7201,4.719349,4.866228,4.709839,4.775595
Bzw1,12.86912,13.25142,13.20453,12.45197,12.45947,12.7743
Nif3l1,6.682873,6.722681,6.597153,6.51105,6.467609,6.610701
Gm15834,5.769964,5.617385,5.686388,5.761686,5.732273,5.582721
Ndufb3,10.70688,10.5383,10.36538,10.99698,11.06834,10.63307
Gm20257,5.687938,5.511457,5.012753,5.221695,5.391777,5.250437
Casp8,11.75485,11.81788,12.15044,10.68907,10.71757,11.05515
Stradb,9.553862,9.306053,9.343746,10.0014,10.2372,9.872759
Gm25502,4.164441,4.801949,4.121614,4.06264,4.114921,4.102819
G730003C15Rik,5.241543,4.932704,4.802185,4.90952,5.144218,5.02279
Cdk15,5.27588,5.35518,5.151512,5.296463,5.229027,5.29389
Fzd7,8.253971,8.183429,7.961494,8.43789,8.556167,8.371395
Gm973,4.908109,4.852759,5.12082,4.959992,4.999385,5.005794
Gm24545,5.617697,5.586127,5.58498,5.478602,5.6993,5.567527
Nop58,11.1167,11.76961,12.61077,10.57128,10.56545,11.29318
Snord70,13.59447,13.81805,13.91924,14.57317,14.38643,14.60043
Gm26293,11.68382,11.75675,12.07214,12.18322,11.85902,12.00825
Gm26287,7.221967,6.806571,7.709512,7.758678,7.504152,7.564826
Snord11,7.402259,7.229078,8.015827,7.543737,7.636419,8.030205
Bmpr2,13.30997,13.19803,13.51837,13.4503,13.38908,13.11734
Fam117b,8.927707,8.655084,8.632983,8.075665,8.150826,8.39046
Carf,6.916,6.583565,6.824656,6.953512,7.034565,6.937695
Gm15464,18.94917,18.9474,18.94173,18.79026,18.76488,18.94878
Nbeal1,10.41425,10.35799,10.5441,10.4638,10.39535,10.27298
Cyp20a1,9.439514,9.180103,9.381133,9.130843,8.875895,9.253153
Abi2,9.242289,8.977183,9.009892,8.842635,8.977077,8.861324
Gm11576,4.619562,4.564569,5.036567,5.143076,4.846473,4.918253
Gm11577,4.223598,3.545551,4.497729,4.015025,3.965205,4.011539
Eif4a-ps4,14.33329,15.15476,14.78696,14.00276,13.9593,14.48451
Cd28,6.434254,6.235226,5.940841,6.017218,6.082314,6.372591
2310016D23Rik,6.577115,6.142511,6.208223,6.24839,6.786298,6.593946
Gm11609,4.530824,4.795809,4.601587,4.798291,5.045694,4.825115
Gm11581,8.381402,8.577105,8.80025,8.130924,8.811426,8.710752
Ctla4,4.587461,4.574498,4.361012,4.122345,4.306774,4.249447
Rpl18-ps1,17.53799,17.55083,17.34861,17.53883,17.50859,17.63475
Icos,5.574241,5.286095,5.44129,5.129758,5.173812,5.282627
Rpl17-ps1,12.93593,12.65063,12.6533,12.60724,12.89302,12.84682
Gm11587,4.513155,4.410755,4.407182,4.419017,4.372295,4.5464
9530026F06Rik,5.644157,5.718232,5.504925,5.577824,5.719995,5.52862
Gm11588,3.884879,4.171115,3.657979,3.835015,3.864044,4.872114
Gm25839,5.421843,5.498004,5.281958,4.882075,5.544797,5.22554
Pard3b,7.110331,6.78389,7.126139,6.853865,6.906358,6.890955
Gm11599,10.08747,9.862485,9.953534,10.74518,10.89246,10.97589
Nrp2,9.314363,9.550804,9.544697,8.983585,8.752341,8.906683
Gm24942,5.431954,5.357801,4.729302,4.66115,5.41278,5.022632
Gm11601,4.134805,4.262654,4.018476,4.200103,4.372222,4.301408
Gm11603,9.46334,9.282444,9.153439,9.108023,9.191643,9.440837
Ino80dos,6.800885,6.791009,6.697711,7.054807,7.019696,6.87312
Eef1b2,13.12574,13.20194,12.97224,12.88227,12.96046,13.15592
Gm26457,8.530312,8.391442,8.592743,8.783618,8.664326,8.716803
Snora41,7.001894,7.259949,7.136178,6.207274,6.53404,7.255481
Gm23611,19.62191,19.48456,19.65407,19.55899,19.57511,19.61185
Zdbf2,5.920168,6.083195,5.780278,5.889028,6.198894,6.089811
Adam23,7.381938,7.478108,7.513527,7.380169,7.45065,7.501559
Gm12748,4.464804,3.700969,4.604458,4.640689,4.867326,4.608829
Fastkd2,7.601554,7.626019,7.573226,7.649009,7.621292,7.643083
Gm13754,4.850282,4.73038,4.742772,4.764722,5.253237,4.93226
Gm13749,4.495204,5.469901,5.35051,5.016711,5.061855,4.79319
Gm26649,5.807232,6.380219,6.249976,6.11594,6.208431,6.232596
Gm13748,4.703371,5.174447,4.726135,4.543008,4.346159,4.909774
Gm13750,13.15825,13.23348,13.31106,13.00889,12.89716,13.51208
Gm25748,10.35231,10.19623,10.12819,10.10271,9.968669,9.684347
Creb1,9.852542,10.32222,10.08632,9.683009,9.76312,9.71264
Ccnyl1,10.3222,10.17192,10.68871,9.901757,9.924953,9.898077
Rpl31-ps24,6.162403,6.199634,6.23044,6.607725,7.037792,7.013162
Gm8550,5.775627,5.679363,5.949564,5.821548,5.402719,5.716009
Pikfyve,8.696198,8.767466,8.86267,8.626548,8.496839,8.694108
Pth2r,4.15167,4.276764,4.101426,4.21632,4.116037,4.181633
Gm8805,6.420067,6.955616,6.722232,6.623136,6.561646,6.843781
Crygf,4.304056,4.894665,4.313733,3.749352,4.076405,4.182582
Gm15659,6.025809,6.492816,6.39221,6.055878,6.118262,6.347644
Gm8812,7.760349,7.171544,7.462174,6.173295,6.211002,5.921019
Map2,5.816921,5.886343,5.754717,5.694338,5.88458,5.966736
Gm24729,4.9671,5.118993,5.554016,5.532907,5.648552,5.465667
Gm25411,5.33335,5.326591,5.140192,4.204976,4.851278,5.070036
Unc80,4.772666,4.699855,4.812674,4.742351,4.738827,4.679204
Rpe,8.647654,9.167637,8.933803,8.773467,8.518026,8.853309
Gm15789,5.755935,4.644018,5.551929,6.047509,5.751067,5.745252
Gm26010,4.05648,3.644982,3.310735,3.458846,3.887007,3.987414
Gm25832,5.095835,4.82445,5.131975,5.085929,4.898381,5.21929
Gm15826,3.856235,3.794314,3.859048,4.166659,3.723333,3.50194
Cps1,4.480938,4.477096,4.352081,4.357948,4.387778,4.404327
Gm15668,4.241236,3.959787,4.02116,4.084473,3.849707,4.371042
Gm26342,4.919611,5.10732,5.315113,5.944521,5.050649,5.463877
Kif22-ps,4.80843,4.536897,4.735134,4.5288,4.661308,4.683902
Gm22548,14.88005,14.23205,14.76932,14.58509,14.88482,14.89992
Gm15669,4.457186,4.19515,4.313972,4.040383,4.171027,4.609411
Gm23189,18.35518,18.08974,18.14349,18.16521,18.19542,18.24006
Gm15671,4.218385,4.499345,4.678582,4.351059,4.723793,4.817612
Spag16,4.03603,4.172947,4.094494,4.025374,4.051952,3.972646
Gm23422,7.75081,8.001414,7.589873,7.494928,7.454343,7.310578
Vwc2l,4.073673,4.184871,3.859099,4.011158,4.179522,3.970352
Atic,7.781433,8.295947,8.145003,7.690212,7.717369,8.10785
Apol7d,4.595558,4.794645,4.745399,4.437972,4.412078,4.457305
Gm8883,4.305398,4.359116,4.514724,4.471406,4.361242,4.560321
Gm5528,16.04509,16.01492,15.73459,15.87991,16.02188,16.02651
Gm25360,11.78148,12.2043,11.9846,11.16518,11.62898,12.19777
D230017M19Rik,5.541647,5.506746,5.683412,5.780277,5.833223,5.704637
Gm23472,15.29349,15.38153,15.02752,14.32234,14.87954,15.1834
Gm24497,15.41424,15.46775,15.12247,14.42055,15.00252,15.26478
Gm25939,14.13223,14.22985,13.84129,12.87834,13.57541,13.83044
Tmem169,4.567417,4.673928,4.686924,4.607282,4.504813,4.554165
Xrcc5,9.483995,9.110444,8.979768,9.535508,9.747671,9.760902
Gm15843,14.74394,14.45719,14.30554,14.28572,14.53741,14.56476
Smarcal1,7.478749,7.482824,7.373952,7.81662,7.752419,7.679106
Rpl37a,11.22804,11.57678,11.4054,11.17154,11.18311,11.32227
Igfbp2,4.896723,5.219591,5.04288,5.127478,5.134733,5.031049
1700027A15Rik,5.120466,4.795543,4.692838,4.771033,4.670616,4.565215
D530049I02Rik,5.333642,5.529832,5.846922,5.274815,5.850757,5.366423
Gm25329,5.383126,5.376162,5.539931,5.588501,5.198565,5.402814
Rufy4,5.141372,5.038874,5.240617,5.248913,5.217156,5.02526
Cxcr2,6.477115,9.10509,8.915253,6.622768,6.68663,6.738546
Gm25524,6.041696,6.075433,5.60588,5.457793,5.272935,5.840837
Arpc2,13.00149,13.39444,13.1049,12.3454,12.39528,12.7575
Gpbar1,4.499249,4.293468,4.795626,4.645888,4.438788,4.663992
Pnkd,8.37469,7.977138,7.984941,9.009327,8.878117,8.441679
Catip,4.997709,5.301826,5.134429,5.310456,5.137071,5.212853
Slc11a1,9.778532,10.78355,9.811595,9.82271,9.458653,9.8054
Ctdsp1,8.980337,8.759773,8.720335,8.78515,8.801775,8.868208
Mir26b,5.638919,6.280152,6.254622,6.696772,5.807023,6.145256
Vil1,4.404122,4.40349,4.56881,4.419551,4.459759,4.522112
Rqcd1,9.306974,9.767943,9.510118,9.316717,9.218358,9.543301
Plcd4,8.768118,7.562192,8.094954,8.425779,9.154567,8.292439
Bcs1l,8.20837,8.281995,8.178385,8.43736,8.55665,8.504481
Stk36,5.608346,5.516517,5.609693,5.736058,5.745803,5.652606
Ttll4,8.161815,8.460922,8.714055,8.342467,8.650731,8.338234
Cyp27a1,9.183737,8.335195,8.837854,9.89084,9.952545,9.709665
Wnt6,3.601169,3.672818,3.828809,3.678596,3.687731,3.554672
Wnt10a,4.297219,4.388411,4.168517,4.011442,4.143518,4.200488
Gm16582,4.754918,4.445664,5.252585,4.845071,4.732054,4.797982
Cdk5r2,5.245945,5.142368,4.989086,5.079998,5.217745,5.116285
Gm15841,4.668221,4.308595,4.473885,4.371341,4.684983,4.809068
Fam134a,7.776634,7.918308,7.842486,7.999382,7.877467,7.869131
Zfand2b,6.238401,6.201991,6.172859,6.354637,6.210941,6.209382
Ankzf1,6.269299,6.512666,6.326334,6.579399,6.561551,6.505589
Stk16,7.389258,7.515591,7.539662,7.576685,7.465247,7.438623
Dnajb2,6.902006,6.964393,6.887469,6.97487,7.00066,6.985346
Des,16.86034,16.90259,17.085,17.43568,17.56096,17.39919
Speg,8.449476,8.291018,8.195982,9.048167,9.383698,8.979453
Gmppa,8.987572,9.169017,9.047679,9.264584,9.187757,9.391101
Asic4,5.237702,5.49894,5.275374,5.393056,5.308195,5.434978
Tmem198,4.137344,3.99302,4.084486,3.977054,4.017539,3.864861
Inha,6.707942,5.955668,6.075419,6.883849,6.687798,6.632064
Stk11ip,5.98945,6.104345,6.058236,6.23905,6.240325,6.166002
Gm15183,4.333973,3.928464,4.075202,4.11625,4.103519,4.198897
Slc4a3,5.933712,6.051477,5.930995,6.008874,6.245765,6.242653
Gm15180,4.916839,5.257004,5.024686,5.301381,5.354543,5.291291
Gm15182,5.089765,5.425352,5.030777,4.785861,4.783172,4.683943
Gm5257,5.163067,5.349429,5.484338,5.42192,5.953944,5.769483
Gm17751,4.740365,4.659481,4.904828,4.913893,4.515385,4.634546
Mir6343,4.391524,5.202854,4.784772,5.069397,4.712971,4.775796
Gm25974,5.364441,5.171712,4.821966,4.858096,5.175581,5.189048
Sgpp2,4.788495,4.751897,4.586126,4.714233,4.769921,4.859191
